date,plate
2010-10-01,ANDARE
2010-10-01,1TWIN
2010-10-01,11VROD
2010-10-01,4SKNMC
2010-10-01,7IRON6
2010-10-01,FINALI
2010-10-01,GOKEY
2010-10-01,TLR
2010-10-01,TRM
2010-10-01,G1DBE
2010-10-01,UBPHD
2010-10-01,CCNMO
2010-10-01,CEF1A1
2010-10-01,VSPA
2010-10-01,WS28
2010-10-01,DASH2
2010-10-01,ELIE
2010-10-01,2CHARM
2010-10-01,2TWINS
2010-10-01,K2JFK
2010-10-01,2002A
2010-10-01,4LOU4
2010-10-01,4LUCK
2010-10-01,77OH7
2010-10-01,ML350
2010-10-01,MMFP
2010-10-01,MOYER
2010-10-01,NIPA
2010-10-01,NYVP2
2010-10-01,NYY347
2010-10-01,PR1999
2010-10-01,PURR
2010-10-01,AACVI
2010-10-01,ABL34
2010-10-01,SJPCADET
2010-10-01,SKINSCHL
2010-10-01,SKOERTS
2010-10-01,EZEL07
2010-10-01,SLOVE
2010-10-01,SMOVADO
2010-10-01,SNIK613
2010-10-01,ALL4RISA
2010-10-01,SONIDO1
2010-10-01,ALWL
2010-10-01,AMTF168
2010-10-01,SPYGURL
2010-10-01,FEARJAH
2010-10-01,ARMYNG
2010-10-01,FLASHBK2
2010-10-01,FORDPOWR
2010-10-01,A75
2010-10-01,A752
2010-10-01,BABYEVO
2010-10-01,F1LEONE
2010-10-01,BAM641
2010-10-01,TCAP
2010-10-01,TECHNK
2010-10-01,BELCOO
2010-10-01,BENNICK
2010-10-01,GOAUBRN
2010-10-01,TLUVSZ
2010-10-01,GPASLV
2010-10-01,TOOHAPPY
2010-10-01,TRACKER6
2010-10-01,GTA1989
2010-10-01,TTRBO7
2010-10-01,BPILLA
2010-10-01,TWICKS
2010-10-01,CAELA
2010-10-01,UTOG134
2010-10-01,HI5NY
2010-10-01,CAMLOT13
2010-10-01,CAMLOT14
2010-10-01,VALDIZON
2010-10-01,VEENDAM
2010-10-01,VERGASER
2010-10-01,HOTGTR
2010-10-01,CCCNY
2010-10-01,CEYLON1
2010-10-01,VRAJ
2010-10-01,HYEVLCTY
2010-10-01,CKG
2010-10-01,ILVYRKES
2010-10-01,IMSPRTCS
2010-10-01,COOLMYK
2010-10-01,COYOTEHP
2010-10-01,CULTR
2010-10-01,JAGSS100
2010-10-01,XTOPHERX
2010-10-01,XXFJXX
2010-10-01,JAZZ4CB
2010-10-01,DANYJETS
2010-10-01,YUHAN1
2010-10-01,JGG1
2010-10-01,JISJR
2010-10-01,DERJAGER
2010-10-01,JML28
2010-10-01,DINOGT
2010-10-01,JNGLLND
2010-10-01,DLW810
2010-10-01,1BRONSON
2010-10-01,JS8888
2010-10-01,1KMCSBC2
2010-10-01,JUGHEAD
2010-10-01,JUPITER
2010-10-01,1RMP
2010-10-01,1STRNGBW
2010-10-01,DRYBSMT
2010-10-01,KAHRAMN2
2010-10-01,KANITAT
2010-10-01,DURWOOD
2010-10-01,143EET
2010-10-01,2BONAIRE
2010-10-01,ELITE151
2010-10-01,EMPERORI
2010-10-01,KYRILESN
2010-10-01,LAKELUV2
2010-10-01,LANDY
2010-10-01,LAX09
2010-10-01,302UTOG
2010-10-01,LITZA
2010-10-01,LLUVS71
2010-10-01,LOLA240
2010-10-01,4UU2NV
2010-10-01,479SWIM
2010-10-01,5HAGS
2010-10-01,LUVARTS
2010-10-01,LUVMIBYS
2010-10-01,LUVODIE
2010-10-01,5836PN
2010-10-01,LYRIX
2010-10-01,MAGGIEE
2010-10-01,67XKEJAG
2010-10-01,MANGANO1
2010-10-01,69SBEST
2010-10-01,70NOVA
2010-10-01,8ARORA8
2010-10-01,81CAMZ28
2010-10-01,926KVP
2010-10-01,MJPAJP
2010-10-01,MLEKAR
2010-10-01,MORT1MER
2010-10-01,MS556
2010-10-01,MTNB1KER
2010-10-01,NILSENLA
2010-10-01,NSTYCHIC
2010-10-01,OLYMPICS
2010-10-01,OMALLEYS
2010-10-01,PARLOR
2010-10-01,PFD3
2010-10-01,PHILZ8
2010-10-01,PROCPA
2010-10-01,RAILS4U
2010-10-01,RB27
2010-10-01,RDSPIKE2
2010-10-01,REF1031
2010-10-01,RJBCIB
2010-10-01,RMPH
2010-10-01,RONNIE07
2010-10-01,RONNY2
2010-10-01,RONSTRK
2010-10-01,ROTT
2010-10-01,SCORD
2010-10-01,SETT
2010-10-01,SHOWLS6
2010-10-01,SHP
2010-10-01,BM750
2010-10-01,LENGED
2010-10-02,GOHST
2010-10-02,GREENN
2010-10-02,C3LT1C
2010-10-02,DIAVEL
2010-10-02,ADC824
2010-10-02,AX6898
2010-10-02,GALTEK
2010-10-02,TINMTH
2010-10-02,TONI1
2010-10-02,CARDLR
2010-10-02,JROSED
2010-10-02,JS550
2010-10-02,2S3
2010-10-02,MCB6
2010-10-02,NINA64
2010-10-02,PLMBR
2010-10-02,PLMBR1
