date,plate
2010-10-02,00DADDY
2010-10-02,3170F400
2010-10-02,RUBMYDUB
2010-10-02,FOX1NYP
2010-10-05,88B8B8
2010-10-06,FQEML8R
2010-10-06,I32I
2010-10-09,TNY1120C
2010-10-11,NOFTCHX
2010-10-11,BAD8SS
2010-10-13,EFFNA
2010-10-14,T4T4T4T4
2010-10-14,081183A
2010-10-14,0SANCHEZ
2010-10-14,R0BINM
2010-10-14,ITZCRACK
2010-10-15,PNKIE
2010-10-15,0NY
2010-10-16,1SET1KLL
2010-10-16,RL670NME
2010-10-16,DL0
2010-10-19,911MM1
2010-10-20,FORDU
2010-10-21,TRUB100D
2010-10-21,50MEBODY
2010-10-21,FNNYER
2010-10-27,S5SS5S5S
2010-10-27,BADAAZ
2010-10-30,DAAAM
2010-11-02,0NE5
2010-11-03,LVMYNUTS
2010-11-04,FNWOW
2010-11-05,FFH00
2010-11-06,BIGFING
2010-11-06,ALFAKYU
2010-11-06,1II1I1
2010-11-09,REALCRAP
2010-11-11,VAS1344
2010-11-13,P0I50N
2010-11-16,PUSYWGN
2010-11-16,BMV2003
2010-11-16,BAD2SS
2010-11-19,55OHP
2010-11-23,2Z2Z2ZZ2
2010-11-23,NYUOI
2010-11-23,PHQTHAT
2010-11-24,LMFAO
2010-11-25,BPVAS
2010-11-27,VYVYYVYV
2010-11-27,NW911
2010-11-27,CAMLTOW
2010-11-30,M04JR
2010-11-30,BAD2SS
2010-11-30,MOEFO
2010-12-01,VAFFNCLO
2010-12-04,OI1100IO
2010-12-09,NOFATCKZ
2010-12-09,MYC00LZ
2010-12-09,LIM88888
2010-12-10,FMLYJULZ
2010-12-11,PZZOFF
2010-12-14,USMCSNPR
2010-12-14,MJ0LLNIR
2010-12-15,FENZO
2010-12-17,STUGOTS6
2010-12-17,NYCMOFO
2010-12-17,AHOSTAGE
2010-12-18,T4ISAAC
2010-12-18,FAKYU2
2010-12-18,M000C0W
2010-12-21,IROFLMAO
2010-12-22,LUVN69
2010-12-23,TN03
2010-12-25,NPH1978
2010-12-28,FTHECAT
2010-12-31,NOMORCAK
2010-12-31,1R00TS
2010-12-31,SCRWMS
2011-01-04,KRICKM
2011-01-06,THER0P
2011-01-06,MRT0DD
2011-01-06,N0RM0N
2011-01-07,P90XNY
2011-01-07,MUDS1UT
2011-01-08,DEVIL2U
2011-01-08,PECKR
2011-01-13,EFNBEAST
2011-01-15,T0RIT0
2011-01-15,M0HIT
2011-01-17,000HFA
2011-01-17,VTL5II
2011-01-21,XXXVXXX
2011-01-22,WWMWMMMW
2011-01-22,NOFATYS
2011-01-22,OOOINK
2011-01-22,XKXXKX
2011-01-22,XIK6O1
2011-01-25,4KNFST
2011-01-27,00IOIIOI
2011-01-29,NUMNUTZ
2011-02-01,Z7Z7Z7
2011-02-01,EFENZO
2011-02-01,FYOU2
2011-02-01,PEN15
2011-02-02,EFFFYOU
2011-02-08,1602327C
2011-02-08,DEERKLLR
2011-02-09,2FNSWT
2011-02-10,R00MII
2011-02-18,QISMYARS
2011-02-18,LAINPIPE
2011-02-19,NUKEM
2011-02-21,IIII111I
2011-02-23,MACH0NE
2011-02-24,5IVEO
2011-02-25,FJURSELF
2011-02-25,IIIIINW8
2011-02-25,BGPMPIN
2011-02-25,HAULAZ
2011-02-26,CHITBOXX
2011-03-01,03HD
2011-03-01,OO1OO
2011-03-02,T5833C
2011-03-03,SNOHOE
2011-03-03,MNM7N9
2011-03-03,1I1I
2011-03-08,L0C01
2011-03-09,STUGOTS5
2011-03-09,BTDTF
2011-03-10,M1LFHNTR
2011-03-15,5NATCH
2011-03-15,FIT
2011-03-15,DAMNNN
2011-03-15,FHYBRDS
2011-03-17,ST2GOTZZ
2011-03-19,USPSSY
2011-03-19,FACAR
2011-03-19,HELLEN
2011-03-19,1L1L1L
2011-03-19,FNB
2011-03-22,FATSSO
2011-03-22,GSSPOT
2011-03-23,ASHOLS
2011-03-24,RCHBIACH
2011-03-25,D0NUT
2011-03-26,EPHYOU
2011-03-26,OHDAAMN
2011-03-26,K1LLNIT
2011-03-26,OSIIIT
2011-03-29,1OVER0
2011-03-29,B10NDY
2011-03-29,FNTXS
2011-03-29,OOO5
2011-03-29,N0TCH
2011-03-30,SLIPITIN
2011-03-30,PENEZ4U2
2011-03-30,HMA1010
2011-03-30,HMA1032
2011-03-30,HMA1014
2011-03-30,HMA1046
2011-03-30,HMA1034
2011-03-31,OO11
2011-04-01,V8LMAO
2011-04-02,0GR8
2011-04-05,1200NTO
2011-04-05,SPANKEDU
2011-04-05,LIMBAUGH
2011-04-09,ZKZKZKZK
2011-04-09,ILAHOE
2011-04-09,BSNEMTP
2011-04-09,OSKUNT
2011-04-12,IOIXIOI
2011-04-12,IMSOODTF
2011-04-12,DBLE0H7
2011-04-12,PRCK13
2011-04-15,ORGAZSSM
2011-04-15,H0LLYW0D
2011-04-15,DUC1T
2011-04-15,GA80R
2011-04-15,ILUVSX
2011-04-15,2O2ONY
2011-04-15,HOVLANE
2011-04-19,IAMDTF
2011-04-19,BADASCRX
2011-04-21,911SUVR
2011-04-21,AUT0B0T
2011-04-21,WOOPAS
2011-04-22,2GRLS1CP
2011-04-22,OLDMAN0
2011-04-23,WWTTFF
2011-04-23,FATAZ9
2011-04-23,0HR218
2011-04-27,WAXQUEEN
2011-04-27,RFLMAO
2011-04-27,0VER100
2011-04-28,U1HA8TER
2011-04-28,OQOQOQ
2011-04-29,THTB10ND
2011-04-29,CANUK
2011-04-30,DILLIGAC
2011-05-04,ME0WBABY
2011-05-04,0ILG
2011-05-05,0PTO012
2011-05-05,SPOILD69
2011-05-05,O1LUV
2011-05-05,MYBONR
2011-05-06,TOSH1
2011-05-06,1DIV0
2011-05-06,ROLL0UT
2011-05-07,T6616021
2011-05-10,0MATA0
2011-05-10,FYCN
2011-05-10,AA21803
2011-05-10,IIII1I
2011-05-10,III1II
2011-05-10,JD69ME
2011-05-11,Z2Z2Z2Z2
2011-05-11,JCOO7
2011-05-12,PSSSSSSI
2011-05-12,FUN
2011-05-12,YYVYVY
2011-05-12,N03M1
2011-05-12,TB0ALN
2011-05-12,BMW65O
2011-05-13,OOO1961
2011-05-14,Z0SICK
2011-05-14,M00VE
2011-05-14,H0T07
2011-05-17,SHAGONE
2011-05-18,2FINQUIK
2011-05-18,5UKM30FF
2011-05-18,AREUDTF
2011-05-19,BADA55GT
2011-05-20,0P3NITUP
2011-05-21,SNFMYBLZ
2011-05-21,PHQU
2011-05-21,SN0MAN
2011-05-24,XKXXKXKX
2011-05-24,8B88BB8B
2011-05-24,HELONHLZ
2011-05-24,IL1ILIL1
2011-05-25,TBAGGER
2011-05-25,FO1
2011-05-26,XXKCNYXX
2011-05-26,0GRUMPY1
2011-05-26,9IIEMS
2011-05-28,1MEAN5O
2011-05-28,RTCOM
2011-05-28,IHAT3U
2011-05-30,JULAND
2011-05-30,W14O
2011-06-04,XOXNYXOX
2011-06-07,R0NE
2011-06-08,LMFAOO
2011-06-10,FLATU8
2011-06-11,BEEOTCCH
2011-06-11,BAFNGULE
2011-06-11,QQQOQO
